0	 62.00 	 200.00 	4
62	 62.00 	 200.00 	4
124	 62.00 	 200.00 	4
186	 62.00 	 200.00 	4
248	 62.00 	 200.00 	4
310	 62.00 	 200.00 	4
372	 62.00 	 200.00 	4
434	 62.00 	 200.00 	4
496	 62.00 	 200.00 	4
558	 62.00 	 200.00 	4
620	 62.00 	 200.00 	4
682	 62.00 	 200.00 	4
744	 62.00 	 200.00 	4
806	 62.00 	 200.00 	4
868	 62.00 	 200.00 	4
930	 62.00 	 200.00 	4
992	 62.00 	 200.00 	4
1054	 62.00 	 200.00 	4
1116	 62.00 	 200.00 	4
1178	 62.00 	 200.00 	4
1240	 62.00 	 200.00 	4
1302	 62.00 	 200.00 	4
1364	 62.00 	 200.00 	4
1426	 62.00 	 200.00 	4
1488	 62.00 	 200.00 	4
1550	 62.00 	 200.00 	4
1612	 62.00 	 200.00 	4
1674	 62.00 	 200.00 	4
1736	 62.00 	 200.00 	4
1798	 62.00 	 200.00 	4
1860	 62.00 	 200.00 	4
1922	 62.00 	 200.00 	4
1984	 62.00 	 200.00 	4
